CQD1,CQD2,CQD3,CQD4,CQD5,CQD6,CQD7,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Batch,Operator,Concentration
639.7518921,638.9157715,640.3034668,637.9967041,643.032959,638.500061,637.3364258,580.3204956,578.8978271,578.7824097,576.9376831,581.62854,578.2001343,578.9689331,B,Operator 1,1ppb
668.6641846,670.2373047,669.8419189,666.168396,663.1199341,662.9204712,661.6751709,607.3776855,604.0636597,604.3430176,599.6102905,600.2383423,603.3916016,605.289978,B,Operator 1,1ppb
277.0914917,277.2073059,276.9334106,277.9469299,278.1734619,279.8786011,278.1807556,205.0422974,205.2872925,207.513031,208.4166565,206.9376068,209.8389893,209.2394257,B,Operator 1,20ppb
329.5081482,331.9556885,329.6200256,330.1942749,329.2079773,330.5480042,330.6613464,241.6821899,244.8027649,245.7714386,245.1684723,247.9690552,247.6209564,248.568985,B,Operator 1,20ppb
364.1425476,363.3472595,361.6354675,364.0433044,365.355835,363.4458008,364.3924255,267.6532288,268.4469299,268.0263977,267.7351685,271.4859009,270.6011047,273.4549561,B,Operator 1,20ppb
392.5444641,391.1491089,391.2718811,392.136261,392.3618469,392.6283264,392.3859863,285.8423767,291.1953735,289.1657104,290.735321,291.5664673,294.4758606,292.2027588,B,Operator 1,20ppb
428.1119995,429.1820679,427.7154541,428.2770996,427.7883606,429.6618958,429.4020691,316.789917,313.3253174,316.1245117,318.2108154,319.5494995,318.4651794,320.7240906,B,Operator 1,20ppb
457.1538696,453.3902283,456.4975281,455.9759216,454.0280457,455.2285767,454.7579041,333.0821533,336.2028809,336.4280701,338.5466003,337.1959534,338.5802917,340.3596802,B,Operator 1,20ppb
487.4680786,493.76474,490.0867004,486.6476135,489.4167175,491.8088074,488.6499634,359.7363892,361.4472656,361.8688354,363.4541931,364.4993286,363.7042847,363.5536194,B,Operator 1,20ppb
521.7640991,521.1311646,518.6546631,518.3684692,519.3955078,519.2608643,518.7297974,382.9736938,382.0831604,383.1663818,384.4187012,388.6966553,388.0113831,388.124176,B,Operator 1,20ppb
553.5841064,551.9506836,553.6216431,554.09021,555.6246338,555.9145508,556.663147,405.7998047,408.6636353,406.9749146,410.7739258,412.6669617,413.9602661,413.2765808,B,Operator 1,20ppb
580.9619141,584.3588867,586.088501,585.2252808,583.9945068,582.8274536,582.2408447,428.4303284,430.1403809,433.636322,432.3678284,435.9196472,434.1969604,435.8014526,B,Operator 1,20ppb
612.5307007,616.1015015,615.7547607,613.885498,614.6688843,614.4177246,612.739502,450.1647644,451.7547302,454.6369629,453.5425415,453.5881348,459.1996155,458.461731,B,Operator 1,20ppb
637.9902954,641.5023193,641.1523438,640.4626465,642.1486816,643.0939331,637.6790771,469.5499573,472.2196045,474.4862976,473.336792,476.3055725,476.8206787,479.4268188,B,Operator 1,20ppb
673.4287109,675.6782227,675.0143433,676.635498,671.6204224,673.3265381,672.6938477,494.0517273,498.2035522,499.9313965,502.3145142,501.2263794,503.3216553,504.907074,B,Operator 1,20ppb
699.520813,699.7714233,700.4971313,698.6190186,698.3348999,699.0082397,698.8377686,514.2409668,515.1782837,514.6933594,517.0735474,521.0734253,522.6687012,526.6161499,B,Operator 1,20ppb
726.4859619,729.1741943,731.7850342,729.8949585,734.0581055,729.3008423,727.2713013,534.3396606,536.5993652,536.5089111,541.4102783,539.9054565,542.8654785,544.3780518,B,Operator 1,20ppb
277.0914917,277.2073059,276.9334106,277.9469299,278.1734619,279.8786011,278.1807556,64.83094025,64.1107254,64.06053925,64.87982941,64.66334534,65.22446442,64.52295685,B,Operator 1,500ppb
329.5081482,331.9556885,329.6200256,330.1942749,329.2079773,330.5480042,330.6613464,74.1941452,72.88552094,73.24999237,73.78268433,74.23705292,73.3710556,74.38816071,B,Operator 1,500ppb
364.1425476,363.3472595,361.6354675,364.0433044,365.355835,363.4458008,364.3924255,80.60441589,79.43901825,78.94615936,78.45801544,80.44299316,79.07233429,80.21253967,B,Operator 1,500ppb
392.5444641,391.1491089,391.2718811,392.136261,392.3618469,392.6283264,392.3859863,85.17205048,83.90113831,84.42721558,84.93146515,85.35680389,84.81690979,85.09575653,B,Operator 1,500ppb
428.1119995,429.1820679,427.7154541,428.2770996,427.7883606,429.6618958,429.4020691,91.75985718,91.36621094,92.49073029,92.08174133,92.86827087,92.81741333,91.97447968,B,Operator 1,500ppb
457.1538696,453.3902283,456.4975281,455.9759216,454.0280457,455.2285767,454.7579041,96.87846375,98.13676453,98.83766174,98.64862823,97.94525909,97.65171051,99.34470367,B,Operator 1,500ppb
487.4680786,493.76474,490.0867004,486.6476135,489.4167175,491.8088074,488.6499634,104.9056473,105.4429855,104.8936996,104.7314301,105.1648026,104.8127975,105.6013565,B,Operator 1,500ppb
521.7640991,521.1311646,518.6546631,518.3684692,519.3955078,519.2608643,518.7297974,111.8621597,111.0327301,111.8964539,111.3363495,112.297554,111.4075089,111.6579361,B,Operator 1,500ppb
553.5841064,551.9506836,553.6216431,554.09021,555.6246338,555.9145508,556.663147,119.3083954,118.5008392,117.4808426,118.9887161,119.356369,118.7170868,119.3508606,B,Operator 1,500ppb
580.9619141,584.3588867,586.088501,585.2252808,583.9945068,582.8274536,582.2408447,126.5965881,124.5523911,126.5428238,125.2922897,125.6003494,127.2281113,126.1972351,B,Operator 1,500ppb
612.5307007,616.1015015,615.7547607,613.885498,614.6688843,614.4177246,612.739502,132.9877167,131.2459717,133.1903992,133.0478668,131.89151,132.956604,132.585022,B,Operator 1,500ppb
637.9902954,641.5023193,641.1523438,640.4626465,642.1486816,643.0939331,637.6790771,137.9069672,138.4600525,139.7884521,137.7825928,139.2098999,139.7106476,138.8473511,B,Operator 1,500ppb
673.4287109,675.6782227,675.0143433,676.635498,671.6204224,673.3265381,672.6938477,147.2334442,147.1839294,147.1330261,148.7281036,148.7211304,149.3643036,147.9554138,B,Operator 1,500ppb
699.520813,699.7714233,700.4971313,698.6190186,698.3348999,699.0082397,698.8377686,154.8057098,153.0417633,152.6440582,153.3269806,153.3047638,154.8909302,154.3396454,B,Operator 1,500ppb
726.4859619,729.1741943,731.7850342,729.8949585,734.0581055,729.3008423,727.2713013,161.1259918,160.4188843,160.7369385,161.5383453,162.8136749,161.3999939,162.903656,B,Operator 1,500ppb
269.8675842,267.8798523,268.8054199,271.8197327,268.8651733,265.8236084,266.8445129,203.1331024,197.7763367,194.5896301,205.359314,201.5568542,194.8026123,190.0380859,B,Operator 1,50ppb
322.272644,320.248291,320.5051575,321.9899902,322.3243103,317.639801,319.7902832,241.9762115,232.71492,230.1994171,243.100296,238.4002838,232.4633789,227.9713898,B,Operator 1,50ppb
354.894928,351.1316223,350.4541321,353.6690674,352.1454468,349.1586609,349.4728394,264.3012695,255.2892303,251.1493225,264.6206055,260.8033752,253.6251221,248.2056732,B,Operator 1,50ppb
381.436676,378.2556152,379.3009338,379.9969177,381.179718,376.2713013,379.9544678,284.170166,277.8809814,272.9577332,283.4602661,281.5229492,275.5348206,268.1985168,B,Operator 1,50ppb
415.5540771,412.2485352,413.1338501,419.8860474,417.3830566,407.9226685,412.9537964,310.2819214,302.6734924,295.8984985,309.3956909,307.260498,296.5569153,290.2702026,B,Operator 1,50ppb
445.2792053,440.2384949,437.9694824,441.2193604,442.0299072,436.7069397,437.0227051,329.12146,322.2485962,317.086853,327.5747986,326.7523193,319.1696777,309.2312622,B,Operator 1,50ppb
482.20224,475.1481018,477.1296082,478.6315918,472.5498962,472.8950806,472.8952637,354.5762939,348.3911743,338.7243958,351.7457275,352.2156372,341.7709961,332.6972046,B,Operator 1,50ppb
506.6664734,501.1776733,501.7019653,506.0666199,504.0903625,500.8017883,502.2644348,375.9884338,365.2845764,362.4173279,372.8816223,370.6214294,363.793335,355.7922363,B,Operator 1,50ppb
542.9300537,534.779541,538.8303223,542.5216064,541.3840942,532.9987793,536.2312012,399.7858582,391.9848938,385.3317566,398.0585632,400.1802979,390.0422363,376.0902405,B,Operator 1,50ppb
568.069519,563.6366577,567.7438965,571.7186279,566.4456787,563.2403564,566.8093262,424.7078857,411.7581787,405.3221436,420.1229858,418.4237976,409.5018311,399.5099182,B,Operator 1,50ppb
600.6429443,587.1691284,595.1903076,598.703125,594.7460327,593.3184814,594.5961914,444.4909668,437.54953,428.598999,440.9198914,442.9484863,429.7045593,419.7073669,B,Operator 1,50ppb
625.9595947,618.2056885,623.8927002,626.2000122,620.5372314,619.8847656,621.9484253,464.3297119,455.5730896,448.5270691,458.2792664,459.1121521,452.6360474,437.522644,B,Operator 1,50ppb
658.9300537,652.1639404,656.5728149,655.817749,655.3217773,651.3598633,655.3248291,493.585907,476.2266235,470.293396,484.3495789,483.5382996,474.5544434,462.8318481,B,Operator 1,50ppb
683.2321777,674.9604492,674.8505859,682.6141968,679.1279907,669.0432129,675.3049316,509.1158142,495.1107178,486.5037231,504.255127,501.4233704,492.7562561,478.4917297,B,Operator 1,50ppb
711.381958,705.1219482,706.50177,708.8757935,708.7307739,701.4927979,706.4842529,531.4437866,517.9607544,505.789093,524.0183105,528.6109619,515.9467163,496.9311829,B,Operator 1,50ppb
279.1526489,281.5455322,279.8044128,278.9534607,279.0840759,280.6767883,280.7270508,254.4328613,256.2594604,256.3945313,256.0465088,255.8450165,254.1699677,255.2332916,B,Operator 2,10ppb
334.8993225,331.895874,332.3523254,332.2633362,332.1127625,332.2403259,336.0400696,302.5219116,300.2800293,304.970459,304.3067017,302.9349976,304.4889526,303.6266479,B,Operator 2,10ppb
366.1307373,367.7540283,365.5686035,364.3614502,365.8853149,363.5575256,365.6110229,333.4872437,332.7102966,336.000885,332.3933716,332.1378784,331.8257141,329.646759,B,Operator 2,10ppb
394.6734619,395.308075,393.483551,395.7545166,394.2779846,394.8531494,392.6459045,362.1231079,361.2495422,359.5314636,358.6332397,359.7043152,358.3538818,359.0956116,B,Operator 2,10ppb
430.269989,431.9046326,431.6060181,430.6476135,431.0950317,430.8570862,432.1955566,390.5650635,389.4517822,390.6887817,392.4052734,389.9760437,389.990509,390.423645,B,Operator 2,10ppb
457.3106384,458.3320313,459.0715942,458.8182373,457.8001709,460.3174744,457.3591614,415.7470093,418.2302551,417.5050354,416.8926086,417.7132263,415.431427,416.2657471,B,Operator 2,10ppb
495.4612122,494.8330078,492.5533142,492.5506287,493.6158447,491.9905396,493.9894409,448.7599792,447.0329895,449.1233521,449.8194275,448.4612122,449.0019531,447.3279114,B,Operator 2,10ppb
523.6237793,524.1500244,524.6419067,522.9163208,523.1843262,524.553894,524.2716675,478.5172729,473.8853455,478.4512939,476.5889282,474.5918274,476.3421326,473.8414307,B,Operator 2,10ppb
556.3175049,561.1425781,557.2537842,561.7739258,560.3537598,560.4342041,558.4989014,504.4252319,508.3788757,509.438324,506.6262512,507.3947754,506.013916,507.725647,B,Operator 2,10ppb
587.3261719,588.4729004,589.7975464,585.2470093,588.178833,587.2747803,589.2799072,534.6057129,535.755249,536.8770752,532.3396606,533.3405151,534.6047974,535.9420166,B,Operator 2,10ppb
619.0415649,616.3793945,616.4490356,615.5725708,619.6029053,617.2526245,616.3974609,561.2267456,560.8273926,564.5431519,561.5041504,563.7572632,562.5267334,561.4109497,B,Operator 2,10ppb
647.748291,645.4242554,646.093689,645.2001953,644.7678833,647.7758789,647.1201172,587.3301392,584.5016479,589.3070068,585.6119995,585.5521851,586.5646973,585.3289795,B,Operator 2,10ppb
