B,C,D,E
46,169,43,50
48,170,44,51
49,176,45,53
50,177,46,54
51,179,47,55
52,180,48,56
53,181,49,57
54,182,50,58
55,183,51,59
56,184,52,60
57,189,53,61
58,190,54,62
59,191,55,63
60,194,56,64
61,199,57,66
