Run1,CQD1,Run2,CQD2,Run3,CQD3,Run4,CQD4,Run5,CQD5,Run6,CQD6,Run7,CQD7,Batch,Operator,Concentration
850.6177979,929.8747559,848.6340942,922.2704468,844.6499634,922.0866699,848.6243896,926.2498169,853.4481812,924.1126099,848.3973389,927.7402954,853.4885864,924.7466431,B,Operator 1,1pM Pb
822.0797119,900.6928101,818.1177368,896.4769897,826.1976929,902.7565918,828.6572266,903.2116089,830.4395752,905.565979,824.2844849,897.4557495,828.1532593,895.0478516,B,Operator 1,1pM Pb
762.5116577,838.5740356,763.1902466,836.8716431,766.1430664,837.7987671,766.6715088,835.0266113,769.5822144,835.2739258,768.7297974,835.8850708,774.5177612,834.4725342,B,Operator 1,1pM Pb
830.7927856,914.1428223,830.8374634,907.6173706,827.7780151,906.0280151,830.4597778,914.1456909,837.614563,909.9557495,833.343811,907.7745972,834.7663574,907.6289673,B,Operator 1,1pM Pb
739.9227905,808.6867065,739.3983154,809.434021,742.4355469,807.6454468,745.0274658,808.9343872,746.4144897,810.8318481,745.7880859,806.6661377,745.0029907,807.8226318,B,Operator 1,1pM Pb
812.7301636,893.2163086,813.2398682,888.3015747,811.3450317,890.4259033,813.9249268,890.3828125,817.5893555,884.7208862,819.736084,887.7134399,822.8543701,887.0645752,B,Operator 1,1pM Pb
838.8508911,921.1256104,842.8660278,916.6836548,839.7775269,923.2696533,841.6107788,923.0283203,846.0549316,917.6419067,845.7752075,916.7871704,846.6412354,914.3638306,B,Operator 1,1pM Pb
661.072876,722.5438843,657.6640015,720.1901245,659.7504883,720.6687622,661.1755371,721.9526978,663.2540283,724.3895264,665.085083,721.2015991,665.5663452,717.6858521,B,Operator 1,1pM Pb
714.6134644,784.1377563,715.4137573,785.0726929,718.4109497,783.5266113,718.6381226,784.0314331,720.5457153,782.6073608,720.9765625,779.1826782,719.2124023,776.6932983,B,Operator 1,1pM Pb
755.3808594,823.4230957,757.0831909,828.5723267,754.4188843,824.5230713,756.2362061,829.187561,759.1945801,822.1048584,758.5032349,821.1412964,761.1483765,824.8031006,B,Operator 1,1pM Pb
644.9163208,706.1164551,644.2328491,708.3653564,649.4605713,706.6040649,647.0044556,708.0419922,650.993103,706.1564941,653.0134277,708.0645142,651.8146362,708.5893555,B,Operator 1,1pM Pb
796.6192017,873.6707764,798.5178833,876.8244629,797.0634155,873.2167358,802.1160278,874.9650879,804.9619751,875.0233765,809.2485962,876.3858032,808.8035278,872.7941284,B,Operator 1,1pM Pb
674.4815674,740.7807617,671.0970459,735.8012695,674.1046753,736.4631958,676.6398926,740.730896,673.8293457,736.0584106,675.8291626,735.9886475,678.4702759,733.659729,B,Operator 1,1pM Pb
59.05147171,64.43258667,59.03701019,64.18981934,58.89899063,64.30741882,60.63788605,65.13591766,60.59202194,65.23413086,60.109375,64.63463593,59.25289917,64.64765167,B,Operator 1,1pM Pb
591.489624,647.5466309,591.9102783,643.6674194,590.3456421,644.5718994,591.8609619,647.7409668,595.8348999,646.722168,596.1138306,643.6033325,596.3431396,644.4891968,B,Operator 1,1pM Pb
704.4759521,770.5960693,703.3433228,767.2606201,696.6681519,765.8648682,703.3693848,770.6078491,708.1419678,765.9256592,704.465271,765.1522217,712.7324219,762.3273315,B,Operator 1,1pM Pb
303.0883179,331.1233215,302.8371887,331.2210388,301.9805908,331.8528442,302.4205933,331.5628662,303.9850464,330.5496826,306.309967,330.6325989,304.5296631,330.9758301,B,Operator 1,1pM Pb
578.2807617,630.8873901,577.5391846,632.944458,577.3568115,630.1539307,582.1787109,629.8346558,578.4376831,631.8974609,585.5026245,631.9976807,582.4291992,631.8349609,B,Operator 1,1pM Pb
629.4432373,691.980835,633.0834351,692.2943115,632.847229,690.7762451,636.7905273,693.9897461,636.9208984,691.2176514,636.6920166,692.1878052,636.9918213,691.7470093,B,Operator 1,1pM Pb
686.4110718,750.6834106,688.7628174,753.2475586,684.1166992,752.0490112,691.5010376,757.3435059,691.2185669,753.9533691,694.2342529,751.4680176,695.2161255,751.0162964,B,Operator 1,1pM Pb
115.5882874,126.1996307,116.3201828,128.0717621,116.6828842,127.9377823,117.1456757,127.8425293,116.8701553,126.4513702,116.5118332,127.0788193,116.8249969,127.1806946,B,Operator 1,1pM Pb
771.0976563,843.3933105,769.963623,841.1106567,772.369751,842.8546753,773.5059204,846.2064209,774.3037109,844.8136597,780.5706787,844.383667,778.829834,842.56427,B,Operator 1,1pM Pb
524.6975708,569.4597168,521.1112671,573.4801025,520.8145142,570.6797485,526.7166138,572.7564087,526.1549072,571.0964355,526.5465698,567.701355,525.3144531,570.4025879,B,Operator 1,1pM Pb
139.2310486,151.2901306,136.7794952,150.7507629,137.0435028,151.7521515,137.6910706,150.4329834,139.4869232,150.8009796,139.1680908,150.0575104,140.2788086,150.4697876,B,Operator 1,1pM Pb
511.7754822,558.5305176,507.906189,558.5028687,511.3771667,556.3109131,513.2163086,558.2234497,510.6697083,555.3756104,511.7394409,556.7199707,513.8347778,556.2168579,B,Operator 1,1pM Pb
565.100708,615.9684448,564.0603638,615.0419312,562.694458,617.0199585,564.1271362,614.3591309,570.4981079,615.5019531,568.489624,615.9335938,568.6442871,614.8135376,B,Operator 1,1pM Pb
782.536499,857.7910767,784.9989014,859.9074097,786.0479736,865.0082397,788.0904541,862.7946777,791.0977783,865.2712402,793.5288086,855.6333008,792.0753784,857.645752,B,Operator 1,1pM Pb
47.84541321,53.33774185,48.23871231,52.55447006,47.60330582,52.28944016,48.45066071,52.86051941,48.65283585,52.72335052,48.397686,52.2591629,48.68776703,53.60596085,B,Operator 1,1pM Pb
457.7802734,500.5524292,457.5338135,502.105835,460.3878784,500.5500793,461.6280823,499.1200867,460.4080505,499.7367859,460.7500305,498.1594543,460.7271118,500.6409302,B,Operator 1,1pM Pb
602.8998413,664.9299927,604.9572144,664.68396,605.8543701,661.262146,607.8522949,664.5338135,609.2770996,658.5579834,606.0911865,660.7643433,609.3258667,657.9758911,B,Operator 1,1pM Pb
621.9952393,680.3689575,615.1837158,678.1394043,622.3586426,678.5984497,624.4481812,679.430603,622.2642822,681.743042,623.7852783,677.8414917,624.078125,679.6387329,B,Operator 1,1pM Pb
538.553833,588.2487793,535.4182739,586.1307373,536.6502686,586.3989868,535.5688477,585.7012329,538.2253418,584.6806641,538.8276978,585.8191528,541.6960449,587.0965576,B,Operator 1,1pM Pb
134.7871094,147.2002716,133.9551392,146.5070648,132.1466217,146.4807587,135.3287659,147.7921906,135.2941284,145.0599365,135.5159912,145.6794281,134.1799927,147.6046295,B,Operator 1,1pM Pb
186.4589844,204.9257813,188.4083252,205.0835266,186.900177,205.0439453,190.6609192,205.2356262,188.5248566,205.2037506,190.6694031,205.3944702,189.8017426,204.7221832,B,Operator 1,1pM Pb
49.77514648,53.90026093,49.49496841,54.02941895,48.84646225,53.99852753,49.45397186,53.46618652,50.23106003,54.61824799,49.50479889,55.24987793,50.5416832,53.82616806,B,Operator 1,1pM Pb
71.39520264,77.34391785,70.65354919,76.71846771,70.90756989,76.1979599,69.88768005,77.00152588,70.74127197,76.10614014,69.87465668,76.78426361,71.16134644,76.98825836,B,Operator 1,1pM Pb
258.5671387,283.3536987,259.1109009,284.6309204,259.9255371,283.0502625,262.039978,284.7614441,260.0334473,282.7249756,261.6510925,281.867157,262.0578613,280.0227356,B,Operator 1,1pM Pb
98.35449219,106.9382629,98.05234528,106.4027634,98.50704956,106.690361,99.59133148,106.7404556,98.45292664,108.6431732,98.26046753,107.0043335,97.74997711,107.7442093,B,Operator 1,1pM Pb
159.4502106,173.1953888,157.758606,172.9638062,159.5962067,173.0715179,158.7350006,173.2458954,159.737381,172.6779175,158.9592743,174.0975037,159.2865753,173.8095245,B,Operator 1,1pM Pb
57.90971756,63.223423,57.1415062,63.47885132,56.86051941,62.94324875,58.35240173,62.08079529,58.6925354,62.6901474,58.94868851,62.75156021,57.20289612,62.91552734,B,Operator 1,1pM Pb
253.6264343,277.0106201,253.1454315,277.779541,253.053009,275.2584229,254.9974976,276.4605408,253.9644775,275.6288147,254.661972,275.8811951,255.919281,277.3419495,B,Operator 1,1pM Pb
754.736084,829.7971802,755.5087891,827.5755005,763.4544067,830.0235596,757.28479,829.958313,765.2059937,832.22229,762.4304199,826.7406616,763.8729858,827.7650757,B,Operator 1,1pM Pb
112.7561951,124.2119446,111.9192657,122.3671799,112.9100113,122.5475922,112.529274,123.396759,113.886734,122.7858887,114.3675537,122.8051224,112.5452347,122.5466156,B,Operator 1,1pM Pb
397.2397766,435.7799072,398.8992615,436.7224426,400.4706726,435.3317566,400.5955811,434.6552734,399.9936523,434.5901184,399.0450745,434.2561951,397.5481262,439.1893921,B,Operator 1,1pM Pb
409.9709473,448.3182983,411.1712341,444.7692566,408.5679321,447.5084229,409.9787292,448.5892334,408.7394104,447.2624207,409.5347595,446.9005737,412.3138733,443.7910156,B,Operator 1,1pM Pb
495.8283081,542.1916504,495.7649231,542.328125,499.0524902,543.7471313,497.4145203,546.6679077,500.4272461,541.9059448,498.4092102,542.9128418,499.8283386,542.3544312,B,Operator 1,1pM Pb
552.0048218,600.7061768,550.0166016,604.5761719,548.5698853,602.6107178,552.8718872,602.7363281,554.6101074,605.5886841,555.8955688,602.4766846,555.758728,601.3850098,B,Operator 1,1pM Pb
79.5872879,86.84365082,78.58751678,86.12954712,79.39544678,86.42671967,79.18576813,85.99272919,79.43221283,86.45550537,79.94978333,86.94522095,79.86476898,86.3234787,B,Operator 1,1pM Pb
735.9876099,813.3845215,744.3695679,808.9447632,740.0889282,812.1522217,744.1299438,811.7706299,744.1633301,816.0131836,745.642395,810.5073853,748.855835,810.6203003,B,Operator 1,1pM Pb
350.9976196,384.0326233,351.1119995,384.3053589,351.5415955,387.2472534,352.1332092,384.0801086,353.3895264,387.1626587,354.3425903,383.8056946,355.0819092,387.0046082,B,Operator 1,1pM Pb
68.75009918,75.93047333,69.03575897,75.37696838,68.93347931,74.46086884,68.1059494,74.85218048,70.29924774,74.7533493,68.91524506,74.81562805,68.72629547,75.53591919,B,Operator 1,1pM Pb
216.6343689,235.361908,214.5579834,234.8513641,215.5953369,235.3905182,217.5555878,237.1300812,216.1377869,235.0052948,217.1975861,233.8982544,216.9618073,234.9549561,B,Operator 1,1pM Pb
129.3235474,141.9966431,129.3394775,140.844635,128.2578583,141.8469696,130.547287,141.4620514,130.9319,142.7131195,129.0704498,141.4164581,129.3714447,140.9763336,B,Operator 1,1pM Pb
