Wavelength (nm),H_CQD (a.u.),H_50uM (a.u.),HF_CQD (a.u.),HF_50uM (a.u.),S_CQD (a.u.),S_50uM (a.u.),Intensity (a.u.)
478.0299988,583.2939,516.1478,581.239624,511.8427124,309.1582031,281.509613,583.2939
478.9299927,574.6589,501.7722,568.0150146,494.3709717,300.8356628,274.3495178,574.6589
480,557.4874,488.37,555.0679932,488.8253784,292.3167725,266.0519104,557.4874
481.0599976,542.2523,480.3346,542.7723389,475.2072449,283.1020203,257.4525757,542.2523
481.9599915,526.4968,465.981,528.9685059,463.1529236,276.0032043,251.8471527,526.4968
483.0299988,510.7573,454.9974,509.7269897,453.9888611,265.5353394,240.0419159,510.7573
483.9299927,499.7387,443.3523,500.4500732,443.3565063,258.6558533,233.4894257,499.7387
485,488.5746,432.7317,488.9327087,430.1767578,251.4463654,229.3915405,488.5746
486.0599976,472.5244,419.0879,475.0692139,419.7766418,240.4710693,221.6192322,472.5244
486.9599915,462.5351,405.7001,464.8286133,407.4797668,233.7146454,213.2256927,462.5351
488.0299988,447.1534,392.622,449.8999329,395.0900879,227.2118988,205.1479645,447.1534
488.9299927,434.4514,383.9482,437.9520874,385.0567627,220.4571075,201.0543671,434.4514
490,424.5763,374.2988,426.821106,375.7229614,214.2625275,195.0464325,424.5763
491.0400085,409.6281,361.5275,417.3384705,365.2791443,206.862442,186.5842285,409.6281
491.9400024,397.9893,348.9929,403.9198608,357.4648438,201.2288361,181.2976837,397.9893
492.980011,379.5251,341.3834,391.0254517,345.8849182,194.2898407,175.4452209,379.5251
494.019989,371.9284,328.6886,381.1296082,334.7163391,187.2843628,170.7470245,371.9284
495.0700073,362.5527,321.5175,371.6356506,327.1270142,181.6992188,165.0140533,362.5527
495.9700012,353.1256,312.5713,362.8027954,318.3086243,179.1389465,161.0894775,353.1256
497.0100098,339.2127,302.1204,349.8323669,304.6074524,171.3508911,154.1222076,339.2127
498.0499878,328.6786,291.7571,337.877533,296.8198853,166.7961578,148.3032227,328.6786
498.9500122,318.3391,284.3018,330.5088501,292.5637512,161.9846954,144.9812012,318.3391
500,312.9272,277.2364,323.9584045,284.6794739,157.1997681,141.5944061,312.9272
501.0599976,301.3589,268.2379,310.401947,273.5673523,151.2014008,135.277832,301.3589
501.9599915,291.2784,260.9585,303.1149292,269.7268982,146.4329224,131.7309723,291.2784
