Wavelength (nm),CQD (a.u.),50pM (a.u.),100pM (a.u.),150pM (a.u.),200pM (a.u.),300pM (a.u.),400pM (a.u.),500pM (a.u.),600pM (a.u.),700pM (a.u.),800pM (a.u.)
395.0700073,74.99575806,67.23324585,65.45592499,63.7053833,63.17531967,64.17779541,61.8362999,56.24581909,55.28023148,55.15546799,54.0626564
396,86.68666077,77.68171692,74.96089935,72.97883606,72.27813721,73.40455627,70.2293396,64.40107727,63.18436432,63.20005798,61.01054001
397.0700073,98.37837219,87.9533844,85.72212982,82.92233276,80.23778534,81.94513702,79.92501831,72.80168152,71.36907959,69.96836853,67.85643768
398,110.3535767,99.28133392,96.44706726,93.84716797,91.38285828,91.73329926,88.95637512,80.94710541,78.93434906,77.71900177,76.9686203
399.0700073,127.3871994,113.4606247,111.0504761,106.243866,105.8000717,105.270668,102.1210556,91.95576477,91.03398895,89.19927979,86.8092804
400,142.4618073,127.2714157,123.1912155,119.5822296,118.0638885,118.3558884,113.8125534,104.4229126,101.5394363,98.96379852,95.56208038
401.0700073,163.4281769,144.4437866,140.5888519,137.2924652,133.7204285,133.0454865,129.0374146,117.0460892,114.9638367,112.9150696,108.56884
402,178.7541962,158.8787689,153.5283813,150.7020721,147.9113922,145.8467712,140.3212433,128.5884552,125.8261948,123.9897461,119.1439972
403.0700073,204.6981354,180.3097992,171.8563538,169.1421509,165.2848206,166.4938507,159.0682526,144.2520447,141.1018219,138.6538391,133.1603546
404,224.6198425,195.5082703,190.6621399,186.889679,181.5556488,182.8403625,175.7575684,159.3103333,155.7672577,152.3487549,147.5322266
405.0700073,252.5700989,221.5409241,213.853714,207.9961395,203.4546509,201.996109,195.699707,177.9102478,173.7982635,169.7567902,164.3360596
406,278.7645874,242.6750793,235.6869354,227.8375702,222.9231873,223.3571014,215.4974213,193.4944153,190.4092407,188.1617584,180.8692627
