CQD1,CQD2,CQD3,CQD4,CQD5,CQD6,CQD7,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Batch,Operator,Concentration
637.9902954,641.5023193,641.1523438,640.4626465,642.1486816,643.0939331,637.6790771,581.2645264,578.9716187,580.4403687,580.5029907,576.9893799,578.2672119,579.4598389,B,Operator 1,10ppb
673.4287109,675.6782227,675.0143433,676.635498,671.6204224,673.3265381,672.6938477,606.8614502,612.3485107,606.8148193,603.4900513,603.2422485,609.3853149,609.5456543,B,Operator 1,10ppb
699.520813,699.7714233,700.4971313,698.6190186,698.3348999,699.0082397,698.8377686,631.543335,632.4404907,631.8626709,632.7087402,632.8412476,630.4425659,628.9360352,B,Operator 1,10ppb
726.4859619,729.1741943,731.7850342,729.8949585,734.0581055,729.3008423,727.2713013,657.5010986,660.8391113,659.149292,659.7490845,653.4516602,656.8242188,654.6867065,B,Operator 1,10ppb
747.0737915,753.2225952,749.9370728,749.37854,749.1473389,751.4328613,749.9581299,678.1245117,678.0151367,680.7290039,677.7769165,682.2113037,677.7061157,675.6658325,B,Operator 1,10ppb
772.4823608,777.6583252,779.3634033,779.0115967,773.8834839,782.6807251,774.774353,704.031311,701.6965332,698.479126,700.2047729,701.9281616,700.8450928,695.7666626,B,Operator 1,10ppb
798.7122192,803.4763794,797.8149414,802.6625366,797.666687,800.039978,801.8355713,721.8456421,723.7045898,721.1286011,723.086731,720.9026489,722.7515869,715.164856,B,Operator 1,10ppb
821.9376221,821.4251709,823.4185181,828.2554321,821.8307495,822.5509644,822.6886597,744.248291,743.444519,742.644165,742.4286499,744.9605103,741.2878418,739.6066895,B,Operator 1,10ppb
843.1096802,845.4182739,844.1887207,843.347168,842.1705322,844.9853516,846.3167725,761.871582,758.8885498,760.5811768,759.9614258,758.8685303,766.7585449,761.6843872,B,Operator 1,10ppb
857.2122803,859.6633301,861.3590088,854.4578857,859.1070557,860.4317627,856.6264038,773.9458008,779.3010254,776.5010376,776.1520386,773.0838623,776.3842773,778.3015137,B,Operator 1,10ppb
877.9837036,879.1466064,881.1942139,874.8396606,877.6481323,878.7463379,874.55896,795.9928589,794.4669189,791.9454346,789.3128052,792.0554199,789.939209,792.0460815,B,Operator 1,10ppb
897.0546265,894.9400024,892.0539551,889.9835815,892.7060547,891.4388428,897.9101563,808.8674316,807.5510254,809.0155029,810.1348877,804.9346924,807.4688721,807.0372925,B,Operator 1,10ppb
907.2959595,909.0923462,909.215271,913.7952881,906.3494263,909.592041,903.8830566,827.4683228,821.9962769,822.9247437,819.6434326,820.9343872,822.8839111,820.604126,B,Operator 1,10ppb
922.201355,923.6809082,919.2042847,921.47052,920.5936279,920.8014526,919.5435181,834.2265625,829.7755127,831.2356567,834.9120483,827.3062744,830.0888062,831.4813843,B,Operator 1,10ppb
925.5423584,934.9820557,933.527771,930.3085327,929.7861328,926.2811279,923.7663574,841.3817749,840.4819946,840.6345215,837.8345337,842.4452515,840.8495483,844.1049194,B,Operator 1,10ppb
936.7097168,939.4315186,940.7182617,938.8782349,935.3285522,948.5408936,936.6595459,852.2050781,848.6265869,848.958252,850.5704346,853.3746948,848.8530884,848.440979,B,Operator 1,10ppb
947.2749634,951.4526367,953.0201416,948.0291748,946.2897339,949.8359375,947.1936035,859.0957642,854.7034912,865.017395,858.8006592,857.1776733,853.5751343,858.2213745,B,Operator 1,10ppb
955.4386597,964.4472656,959.2600098,956.4060059,956.9247437,960.3164673,960.0994263,868.2803955,864.4334717,862.1040649,869.4918213,869.1880493,869.1468506,864.2437134,B,Operator 1,10ppb
