Batch,FeatureIndex,FinalRatio
B,88,0.8001195521632497
B,92,0.8001195521632497
B,90,0.8001195521632497
B,85,0.8001195521632497
B,89,0.8001195521632497
B,95,0.8001195521632497
B,84,0.8001195521632497
B,80,0.8001195521632497
B,91,0.8001195521632497
B,86,0.8001195521632497
B,82,0.8001195521632497
B,96,0.8001195521632497
B,75,0.8001195521632497
B,78,0.8001195521632497
B,87,0.8001195521632497
B,94,0.8001195521632497
B,77,0.8001195521632497
B,81,0.8001195521632497
B,98,0.8001195521632497
B,79,0.8001195521632497
B,83,0.8001195521632497
B,93,0.8001195521632497
B,76,0.8001195521632497
B,97,0.8001195521632497
B,100,0.8001195521632497
B,99,0.8001195521632497
B,104,0.8001195521632497
B,74,0.8001195521632497
B,71,0.8001195521632497
B,101,0.8001195521632497
B,72,0.8001195521632497
B,103,0.8001195521632497
B,70,0.8001195521632497
B,73,0.8001195521632497
B,109,0.8001195521632497
B,105,0.8001195521632497
B,102,0.8001195521632497
B,110,0.8001195521632497
B,69,0.8001195521632497
B,108,0.8001195521632497
B,186,0.8001195521632497
B,114,0.8001195521632497
B,106,0.8001195521632497
B,138,0.8001195521632497
B,115,0.8001195521632497
B,111,0.8001195521632497
B,107,0.8001195521632497
B,167,0.8001195521632497
B,67,0.8001195521632497
B,119,0.8001195521632497
B,162,0.8001195521632497
B,120,0.8001195521632497
B,116,0.8001195521632497
B,68,0.8001195521632497
B,192,0.8001195521632497
B,124,0.8001195521632497
B,113,0.8001195521632497
B,112,0.8001195521632497
B,118,0.8001195521632497
B,163,0.8001195521632497
B,153,0.8001195521632497
B,191,0.8001195521632497
B,181,0.8001195521632497
B,143,0.8001195521632497
B,172,0.8001195521632497
B,158,0.8001195521632497
B,187,0.8001195521632497
B,144,0.8001195521632497
B,66,0.8001195521632497
B,168,0.8001195521632497
B,129,0.8001195521632497
B,128,0.8001195521632497
B,121,0.8001195521632497
B,117,0.8001195521632497
B,178,0.8001195521632497
B,65,0.8001195521632497
B,133,0.8001195521632497
B,182,0.8001195521632497
B,149,0.8001195521632497
B,164,0.8001195521632497
B,123,0.8001195521632497
B,201,0.8001195521632497
B,148,0.8001195521632497
B,134,0.8001195521632497
B,193,0.8001195521632497
B,139,0.8001195521632497
B,173,0.8001195521632497
B,156,0.8001195521632497
B,125,0.8001195521632497
B,140,0.8001195521632497
B,154,0.8001195521632497
B,130,0.8001195521632497
B,127,0.8001195521632497
B,157,0.8001195521632497
B,183,0.8001195521632497
B,137,0.8001195521632497
B,147,0.8001195521632497
B,177,0.8001195521632497
B,161,0.8001195521632497
B,159,0.8001195521632497
B,126,0.8001195521632497
B,196,0.8001195521632497
B,122,0.8001195521632497
B,176,0.8001195521632497
B,151,0.8001195521632497
B,175,0.8001195521632497
B,152,0.8001195521632497
B,131,0.8001195521632497
B,188,0.8001195521632497
B,135,0.8001195521632497
B,132,0.8001195521632497
B,145,0.8001195521632497
B,179,0.8001195521632497
B,136,0.8001195521632497
B,189,0.8001195521632497
B,150,0.8001195521632497
B,142,0.8001195521632497
B,141,0.8001195521632497
B,64,0.8001195521632497
B,197,0.8001195521632497
B,160,0.8001195521632497
B,155,0.8001195521632497
B,146,0.8001195521632497
B,171,0.8001195521632497
B,174,0.8001195521632497
B,169,0.8001195521632497
B,206,0.8001195521632497
B,210,0.8001195521632497
B,180,0.8001195521632497
B,170,0.8001195521632497
B,199,0.8001195521632497
B,184,0.8001195521632497
B,200,0.8001195521632497
B,198,0.8001195521632497
B,63,0.8001195521632497
B,166,0.8001195521632497
B,185,0.8001195521632497
B,195,0.8001195521632497
B,190,0.8001195521632497
B,165,0.8001195521632497
B,203,0.8001195521632497
B,202,0.8001195521632497
B,215,0.8001195521632497
B,62,0.8001195521632497
B,204,0.8001195521632497
B,205,0.8001195521632497
B,61,0.8001195521632497
B,194,0.8001195521632497
B,212,0.8001195521632497
B,207,0.8001195521632497
B,214,0.8001195521632497
B,211,0.8001195521632497
B,209,0.8001195521632497
B,60,0.8001195521632497
B,213,0.8001195521632497
B,217,0.8001195521632497
B,208,0.8001195521632497
B,216,0.8001195521632497
B,59,0.8001195521632497
B,219,0.8001195521632497
B,220,0.8001195521632497
B,218,0.8001195521632497
B,224,0.8001195521632497
B,221,0.8001195521632497
B,229,0.8001195521632497
B,58,0.8001195521632497
B,223,0.8001195521632497
B,226,0.8001195521632497
B,57,0.8001195521632497
B,56,0.8001195521632497
B,225,0.8001195521632497
B,227,0.8001195521632497
B,222,0.8001195521632497
B,230,0.8001195521632497
B,228,0.8001195521632497
B,231,0.8001195521632497
B,234,0.8001195521632497
B,55,0.8001195521632497
B,233,0.8001195521632497
B,236,0.8001195521632497
B,232,0.8001195521632497
B,237,0.8001195521632497
B,235,0.8001195521632497
B,238,0.8001195521632497
B,244,0.8001195521632497
B,54,0.8001195521632497
B,240,0.8001195521632497
B,53,0.8001195521632497
B,241,0.8001195521632497
B,52,0.8001195521632497
B,239,0.8001195521632497
B,51,0.8001195521632497
B,242,0.8001195521632497
B,243,0.8001195521632497
B,245,0.8001195521632497
B,250,0.8001195521632497
B,246,0.8001195521632497
B,252,0.8001195521632497
B,247,0.8001195521632497
B,248,0.8001195521632497
B,50,0.8001195521632497
B,249,0.8001195521632497
B,253,0.8001195521632497
B,49,0.8001195521632497
B,48,0.8001195521632497
B,46,0.8001195521632497
C,180,0.8019324742695909
C,172,0.8019324742695909
C,178,0.8019324742695909
C,177,0.8019324742695909
C,166,0.8019324742695909
C,167,0.8019324742695909
C,164,0.8019324742695909
C,183,0.8019324742695909
C,182,0.8019324742695909
C,170,0.8019324742695909
C,78,0.8019324742695909
C,70,0.8019324742695909
C,71,0.8019324742695909
C,191,0.8019324742695909
C,163,0.8019324742695909
C,175,0.8019324742695909
C,72,0.8019324742695909
