CQD1,CQD2,CQD3,CQD4,CQD5,CQD6,CQD7,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Batch,Operator,Concentration
929.8747559,922.2704468,922.0866699,926.2498169,924.1126099,927.7402954,924.7466431,850.6177979,848.6340942,844.6499634,848.6243896,853.4481812,848.3973389,853.4885864,B,Operator 1,1pM Pb
900.6928101,896.4769897,902.7565918,903.2116089,905.565979,897.4557495,895.0478516,822.0797119,818.1177368,826.1976929,828.6572266,830.4395752,824.2844849,828.1532593,B,Operator 1,1pM Pb
838.5740356,836.8716431,837.7987671,835.0266113,835.2739258,835.8850708,834.4725342,762.5116577,763.1902466,766.1430664,766.6715088,769.5822144,768.7297974,774.5177612,B,Operator 1,1pM Pb
914.1428223,907.6173706,906.0280151,914.1456909,909.9557495,907.7745972,907.6289673,830.7927856,830.8374634,827.7780151,830.4597778,837.614563,833.343811,834.7663574,B,Operator 1,1pM Pb
808.6867065,809.434021,807.6454468,808.9343872,810.8318481,806.6661377,807.8226318,739.9227905,739.3983154,742.4355469,745.0274658,746.4144897,745.7880859,745.0029907,B,Operator 1,1pM Pb
893.2163086,888.3015747,890.4259033,890.3828125,884.7208862,887.7134399,887.0645752,812.7301636,813.2398682,811.3450317,813.9249268,817.5893555,819.736084,822.8543701,B,Operator 1,1pM Pb
921.1256104,916.6836548,923.2696533,923.0283203,917.6419067,916.7871704,914.3638306,838.8508911,842.8660278,839.7775269,841.6107788,846.0549316,845.7752075,846.6412354,B,Operator 1,1pM Pb
722.5438843,720.1901245,720.6687622,721.9526978,724.3895264,721.2015991,717.6858521,661.072876,657.6640015,659.7504883,661.1755371,663.2540283,665.085083,665.5663452,B,Operator 1,1pM Pb
784.1377563,785.0726929,783.5266113,784.0314331,782.6073608,779.1826782,776.6932983,714.6134644,715.4137573,718.4109497,718.6381226,720.5457153,720.9765625,719.2124023,B,Operator 1,1pM Pb
823.4230957,828.5723267,824.5230713,829.187561,822.1048584,821.1412964,824.8031006,755.3808594,757.0831909,754.4188843,756.2362061,759.1945801,758.5032349,761.1483765,B,Operator 1,1pM Pb
706.1164551,708.3653564,706.6040649,708.0419922,706.1564941,708.0645142,708.5893555,644.9163208,644.2328491,649.4605713,647.0044556,650.993103,653.0134277,651.8146362,B,Operator 1,1pM Pb
873.6707764,876.8244629,873.2167358,874.9650879,875.0233765,876.3858032,872.7941284,796.6192017,798.5178833,797.0634155,802.1160278,804.9619751,809.2485962,808.8035278,B,Operator 1,1pM Pb
740.7807617,735.8012695,736.4631958,740.730896,736.0584106,735.9886475,733.659729,674.4815674,671.0970459,674.1046753,676.6398926,673.8293457,675.8291626,678.4702759,B,Operator 1,1pM Pb
64.43258667,64.18981934,64.30741882,65.13591766,65.23413086,64.63463593,64.64765167,59.05147171,59.03701019,58.89899063,60.63788605,60.59202194,60.109375,59.25289917,B,Operator 1,1pM Pb
647.5466309,643.6674194,644.5718994,647.7409668,646.722168,643.6033325,644.4891968,591.489624,591.9102783,590.3456421,591.8609619,595.8348999,596.1138306,596.3431396,B,Operator 1,1pM Pb
