Diff1,Diff2,Diff3,Diff4,Diff5,Diff6,Diff7,Operator,Batch,Concentration
85.29193120000002,74.64373779999994,78.20092780000004,79.17248540000003,74.82885740000006,73.1116333,73.86071779999997,Operator 1,B,1pM Pb
76.06707759999995,77.10101320000001,77.07739250000009,79.44445799999994,73.47210689999997,74.0271606,74.57153319999998,Operator 1,B,1pM Pb
80.32409669999993,75.032959,78.82434079999996,75.06011960000001,73.53430170000001,70.70788570000002,74.92297359999998,Operator 1,B,1pM Pb
83.57952890000001,73.11480719999997,79.08215329999996,81.3612061,75.88220220000005,76.37585450000006,75.7015381,Operator 1,B,1pM Pb
81.17553710000004,78.46173090000002,78.7420654,78.44598380000002,78.25451659999999,80.01593019999996,73.95843510000009,Operator 1,B,1pM Pb
79.39764400000001,73.3498535,80.4157715,78.4369506999999,70.49530030000005,63.33557129999997,74.25750730000004,Operator 1,B,1pM Pb
80.1346436,78.38006589999998,79.23840330000007,71.84118660000001,79.26928710000004,72.07922370000006,81.0701904,Operator 1,B,1pM Pb
86.30169679999995,77.89160149999998,73.97808839999993,78.75524910000001,77.59051509999995,75.48297119999995,74.38580320000005,Operator 1,B,1pM Pb
78.32507329999999,77.4647827,84.02911370000004,81.67864989999998,79.66113280000002,78.75848389999999,70.65814209999996,Operator 1,B,1pM Pb
80.86126709999996,79.60968009999999,82.4650269,85.35479739999994,75.31506349999995,81.99768070000005,76.97448730000008,Operator 1,B,1pM Pb
76.5252686,84.81726079999999,79.00421140000003,83.6326904,74.12402350000002,82.14550780000002,70.07873529999995,Operator 1,B,1pM Pb
72.92254639999999,74.89569089999998,83.1931763,75.78723149999996,70.21215819999998,75.92730710000001,72.32366940000009,Operator 1,B,1pM Pb
80.4498291000001,77.73602300000005,84.0623779,80.8029785,81.56140129999994,76.12609869999994,70.05120850000003,Operator 1,B,1pM Pb
83.64343259999998,79.64709470000003,84.29180910000002,76.45532230000003,73.32098389999999,75.10461420000001,76.29943839999999,Operator 1,B,1pM Pb
87.29248050000001,83.93518070000005,75.732666,75.32733150000001,81.13800049999998,69.38336189999995,74.04150389999995,Operator 1,B,1pM Pb
90.98730460000002,81.91516110000009,77.06304929999999,75.95080559999997,74.88183600000002,70.73339840000006,72.39501949999999,Operator 1,B,1pM Pb
78.29559329999995,78.08740230000001,76.06652829999996,78.24505610000006,73.20697029999997,78.03759769999999,76.2964477999999,Operator 1,B,1pM Pb
83.14947510000002,78.4879150999999,86.21014400000001,82.76824950000002,78.75518799999998,72.89709470000003,75.15173340000001,Operator 1,B,1pM Pb
79.38037109999993,70.46582030000002,80.94348149999996,77.06335449999995,66.03039549999994,67.14068600000007,67.60375979999992,Operator 1,B,1pM Pb
80.55474860000004,80.1522827,77.46661370000004,84.6276855000001,78.57739260000005,72.80200200000002,78.17407220000007,Operator 1,B,1pM Pb
81.98101810000003,85.41107179999995,82.71386719999998,78.1913452,74.01226810000003,73.3167115,77.25573729999996,Operator 1,B,1pM Pb
