B,C,D,E
75,70,74,79
78,71,75,81
80,78,76,83
82,163,77,84
84,164,79,86
85,166,81,89
86,167,83,90
87,170,84,92
88,172,85,94
89,177,86,95
90,178,87,98
91,180,89,100
92,182,90,101
95,183,98,106
96,191,100,110
