Loading Index,Batch B,Batch C,Batch D,Batch E
0,0.03205517703687937,0.03690890923387451,0.024843018654357764,0.02648964809438089
1,0.033056657754757524,0.04061878166949118,0.037744319420602114,0.024746944137622427
2,0.034711406804160905,0.04221566867340487,0.03517889000455399,0.027509389600116126
3,0.03525618356425913,0.04346344281293016,0.04082321700792916,0.03188072776958554
4,0.03567975242785718,0.043222441139813314,0.036354081848507795,0.03728585394018983
5,0.035558000443706,0.045053243412007074,0.03988162195256234,0.03963485857504524
6,0.0355788757366891,0.04596816999561875,0.0346892927826734,0.03911852674196834
7,0.03538336728705767,0.04639086988658815,0.03435765179885091,0.04429689271445346
8,0.03455022773098887,0.04658846750532287,0.039505003523242925,0.04175686844754534
9,0.034826145147895074,0.04669247470253369,0.04370547826364669,0.04546148184213776
10,0.03490504483314698,0.046242635610074585,0.04485505899250325,0.045602282480317606
11,0.035489332160778986,0.047189353343724226,0.04364899211138203,0.04425547446804648
12,0.03544187624197881,0.04799557665230677,0.04596831801257025,0.050956727477449226
13,0.035556469116059974,0.04870339298168909,0.04338494847686335,0.04860712222262205
14,0.03591031735136149,0.04827621460139738,0.048222612682877954,0.05057428444348347
15,0.036039076924225345,0.04862053528579957,0.04912224424249958,0.05342196729052936
16,0.036614626776576994,0.049069888015004504,0.04859226633763451,0.05098919190889576
17,0.036799420206986115,0.04907053274860677,0.05246558430212199,0.054571020150669475
18,0.037113931480615,0.04970615505172702,0.052949287072219964,0.05544532676326532
19,0.03753792072771765,0.04927479167544521,0.05238599424969283,0.05562261547915944
20,0.037733259595924606,0.049314834734188844,0.05291176980487753,0.057572908401169576
21,0.03919696686926525,0.05029999161629785,0.05340769464046086,0.057005063530789886
22,0.0391979204607936,0.04999558599087923,0.055905356967247084,0.056714787441513904
23,0.03997985789696961,0.050385580682043296,0.055083360073726356,0.05793904430040035
24,0.040352297771310434,0.05027774587717107,0.05585686441725713,0.058849588076490045
25,0.04191961359907739,0.05001459494525353,0.056666081051657234,0.058553440296422773
26,0.04337817111838353,0.0501544313238112,0.058415394429194814,0.05930374691783478
27,0.04398916425525308,0.050706652504144446,0.05793570244340544,0.05985878610041108
