Batch,FeatureIndex,FinalRatio
B,88,0.6014673865274524
B,92,0.6014673865274524
B,90,0.6014673865274524
B,85,0.6014673865274524
B,89,0.6014673865274524
B,95,0.6014673865274524
B,84,0.6014673865274524
B,80,0.6014673865274524
B,91,0.6014673865274524
B,86,0.6014673865274524
B,82,0.6014673865274524
B,96,0.6014673865274524
B,75,0.6014673865274524
B,78,0.6014673865274524
B,87,0.6014673865274524
B,94,0.6014673865274524
B,77,0.6014673865274524
B,81,0.6014673865274524
B,98,0.6014673865274524
B,79,0.6014673865274524
B,83,0.6014673865274524
B,93,0.6014673865274524
B,76,0.6014673865274524
B,97,0.6014673865274524
B,100,0.6014673865274524
B,99,0.6014673865274524
B,104,0.6014673865274524
B,74,0.6014673865274524
B,71,0.6014673865274524
B,101,0.6014673865274524
B,72,0.6014673865274524
B,103,0.6014673865274524
B,70,0.6014673865274524
B,73,0.6014673865274524
B,109,0.6014673865274524
B,105,0.6014673865274524
B,102,0.6014673865274524
B,110,0.6014673865274524
B,69,0.6014673865274524
B,108,0.6014673865274524
B,186,0.6014673865274524
B,114,0.6014673865274524
B,106,0.6014673865274524
B,138,0.6014673865274524
B,115,0.6014673865274524
B,111,0.6014673865274524
B,107,0.6014673865274524
B,167,0.6014673865274524
B,67,0.6014673865274524
B,119,0.6014673865274524
B,162,0.6014673865274524
B,120,0.6014673865274524
B,116,0.6014673865274524
B,68,0.6014673865274524
B,192,0.6014673865274524
B,124,0.6014673865274524
B,113,0.6014673865274524
B,112,0.6014673865274524
B,118,0.6014673865274524
B,163,0.6014673865274524
B,153,0.6014673865274524
B,191,0.6014673865274524
B,181,0.6014673865274524
B,143,0.6014673865274524
B,172,0.6014673865274524
B,158,0.6014673865274524
B,187,0.6014673865274524
B,144,0.6014673865274524
B,66,0.6014673865274524
B,168,0.6014673865274524
B,129,0.6014673865274524
B,128,0.6014673865274524
B,121,0.6014673865274524
B,117,0.6014673865274524
B,178,0.6014673865274524
B,65,0.6014673865274524
B,133,0.6014673865274524
B,182,0.6014673865274524
B,149,0.6014673865274524
B,164,0.6014673865274524
B,123,0.6014673865274524
B,201,0.6014673865274524
B,148,0.6014673865274524
B,134,0.6014673865274524
B,193,0.6014673865274524
B,139,0.6014673865274524
B,173,0.6014673865274524
B,156,0.6014673865274524
B,125,0.6014673865274524
B,140,0.6014673865274524
B,154,0.6014673865274524
B,130,0.6014673865274524
B,127,0.6014673865274524
B,157,0.6014673865274524
B,183,0.6014673865274524
B,137,0.6014673865274524
B,147,0.6014673865274524
B,177,0.6014673865274524
B,161,0.6014673865274524
B,159,0.6014673865274524
B,126,0.6014673865274524
B,196,0.6014673865274524
B,122,0.6014673865274524
B,176,0.6014673865274524
B,151,0.6014673865274524
B,175,0.6014673865274524
B,152,0.6014673865274524
B,131,0.6014673865274524
B,188,0.6014673865274524
B,135,0.6014673865274524
B,132,0.6014673865274524
B,145,0.6014673865274524
B,179,0.6014673865274524
B,136,0.6014673865274524
B,189,0.6014673865274524
B,150,0.6014673865274524
B,142,0.6014673865274524
B,141,0.6014673865274524
B,64,0.6014673865274524
B,197,0.6014673865274524
B,160,0.6014673865274524
B,155,0.6014673865274524
B,146,0.6014673865274524
B,171,0.6014673865274524
B,174,0.6014673865274524
B,169,0.6014673865274524
