B,C,D,E
41,148,40,36
42,149,41,37
43,150,42,38
44,151,43,39
45,152,44,40
46,153,45,41
47,154,46,42
48,155,47,43
49,156,48,44
50,157,49,45
51,158,50,46
52,159,51,47
53,160,52,48
54,161,53,49
55,162,54,50
56,163,55,51
57,164,56,52
58,165,57,53
59,166,58,54
60,167,59,55
61,168,60,56
62,169,61,57
63,170,62,58
64,171,63,59
65,172,64,60
66,173,65,61
67,174,66,62
68,175,67,63
69,176,68,64
70,177,69,65
71,178,70,66
72,179,71,67
73,180,72,68
74,181,73,69
75,182,74,70
76,183,75,71
77,184,76,72
78,185,77,73
79,186,78,74
80,187,79,75
81,188,80,76
82,189,81,77
83,190,82,78
84,191,83,79
85,192,84,80
86,193,85,81
87,194,86,82
88,195,87,83
89,196,88,84
90,197,89,85
91,198,90,86
92,199,91,87
93,200,92,88
94,201,93,89
95,202,94,90
96,203,95,91
97,205,96,92
98,206,97,93
99,211,98,94
