Loading Index,Batch B,Batch C,Batch D,Batch E
0,0.05318700048275531,0.0368948777491535,0.03271824188371269,0.02351151693727693
1,0.05323241446168614,0.040751760570669204,0.036559891422402346,0.027430859977453093
2,0.052228903920756686,0.040677107983302915,0.03832193219069985,0.027541030456751492
3,0.05193265854118756,0.04466337869865552,0.03778262899280947,0.030874561743203723
4,0.05308440723045019,0.044962892713479606,0.03882146220430119,0.033535964731969826
5,0.05181472194871565,0.04549005514334966,0.0384623077773731,0.037757153059354516
6,0.053257135582215606,0.048620303419668685,0.039924022327134115,0.041470402952209585
7,0.05052405739930515,0.04844379906627274,0.04004096004327809,0.04633206326774568
8,0.05135660567645747,0.0477013217748742,0.03900319283017395,0.04902861128414223
9,0.049026400001856936,0.04931292964419866,0.03944289975825969,0.05020297664029534
10,0.05008783600153365,0.048874941327010375,0.03937393974197686,0.05322249546946839
11,0.051310336212063344,0.05050801760940148,0.039268450044058635,0.055056274449422876
12,0.049439255808633266,0.04912151038002934,0.039623946616504147,0.05710874448670957
13,0.05036988636677748,0.0502831651877047,0.03966239880330356,0.05809018417284266
14,0.04974943754361307,0.049952408286953104,0.04100501135249487,0.06009783678194476
15,0.05054180985983251,0.04977017500445875,0.040484696193622015,0.06038552509360358
16,0.05236129698825275,0.05075696447685789,0.04104800429907731,0.06230399965606663
17,0.05269579286187405,0.049642575642321565,0.04192562027111546,0.06269716224327186
18,0.05319226115463795,0.04965412749883059,0.043571566436848105,0.06388403753329826
19,0.05440856384055512,0.05009604332216578,0.04531819155579289,0.06545540840024429
20,0.05574118221339939,0.04968608933803492,0.04726225478134747,0.06559121775415225
21,0.0570086032247155,0.050242433865054566,0.050158999792566675,0.06738476293939318
22,0.05875613355468754,0.050693255199603104,0.05188730231317631,0.06737699172987949
23,0.05992606620287597,0.051050900438552274,0.054667341431978836,0.06792676816281194
24,0.06202944090711702,0.05094637128486791,0.057385382830349586,0.06860646955902897
25,0.06413570353276403,0.0511302415858531,0.06006608270003965,0.0692860408320843
26,0.06590502207291615,0.052055719401026754,0.06234048033367063,0.06955773035850217
27,0.06745808566369568,0.05200758117006671,0.06410209521310022,0.06977819930558112
28,0.0685618017084537,0.05336181882341043,0.06561127547839347,0.070039380543549
29,0.06944931720032986,0.0533408571253689,0.06735135161093238,0.07029174999353102
30,0.07014363424647478,0.053574707523947815,0.06864165983394707,0.07048511258815382
31,0.07165876254170199,0.054592724565444777,0.06999477034845983,0.07071168678689364
32,0.07199478693215915,0.05489480950848083,0.07061420091123033,0.07075250413856415
33,0.07268199122661832,0.05565217600088014,0.07126977243192241,0.07086207598431808
34,0.07291157267865643,0.05626610199840304,0.0717508945121811,0.07091838524421726
35,0.07316552975511906,0.05687713069684191,0.07221834724339354,0.07099370128578258
36,0.07376963147964945,0.05716657520914875,0.07252507837998558,0.07103295915796154
37,0.07384864093602529,0.05763270340214249,0.07272225306123227,0.07104457376661893
38,0.0740127771806792,0.05814173085734627,0.07283573502396128,0.07104961347280311
39,0.07404038143564023,0.05856865324486948,0.07297147952398379,0.07106363706058508
40,0.07413023988149306,0.05860608250090834,0.07307845690427564,0.07110565459089217
41,0.07432033960915066,0.059030590866191245,0.0731266141204321,0.07112477979126962
42,0.07434238247087606,0.05915106006778756,0.07316460941436395,0.07112853650979917
43,0.07437039432864564,0.059270599597785356,0.07320014201524673,0.0711302144689336
44,0.0743471340497348,0.05919670496113057,0.07320698170224312,0.07112725321002118
45,0.07437682810687989,0.059282261413504046,0.07321482678971496,0.07114710058911905
46,0.07445102877433518,0.059262667960602304,0.073229727035176,0.07114819447610209
47,0.07442649048283752,0.05928176923992373,0.0732267984664377,0.07115571607931774
48,0.07444216267756136,0.059280980322902126,0.07321699474293197,0.0711567337978999
49,0.07443406943766011,0.0592885607145714,0.07321361291461499,0.07115748292660652
50,0.07443275192822306,0.059307148346926304,0.0732150050746315,0.07116152217526103
51,0.07446968987144043,0.059288333567080825,0.07320724848580358,0.07115820918673
52,0.07445973301201142,0.059226457914565635,0.0732071172869541,0.07115707287216579
53,0.07445063694191852,0.059318376728972,0.07319810425548919,0.07116545104797656
54,0.07445135092689024,0.059322975154827574,0.07318961847700713,0.07116268419464958
55,0.07443824710971131,0.05933132789215717,0.07318584814434395,0.07117018849566177
56,0.07445158244367435,0.05941420986103963,0.07317829900771941,0.07116975302290574
57,0.07443588024364749,0.0594664155415879,0.07317606570955533,0.07116421030483985
58,0.07444024810126414,0.059451196873696266,0.07316661817933183,0.07116449707941579
59,0.07443777873339089,0.05953115699856513,0.07317036352166191,0.07116538104078822
60,0.07443867270535595,0.05948816365484123,0.0731554402027735,0.0711620710770325
61,0.07442716702159184,0.05960559095949357,0.07315786568233842,0.0711605132594312
62,0.07442351306315699,0.05963074522487643,0.07314716963344452,0.07116389864965937
63,0.07441878247684153,0.05966189678951056,0.07314399465339383,0.07116361532752281
64,0.07440888100408824,0.05966645885101902,0.07314228192367203,0.07115780141430289
65,0.07441536141489867,0.05974108363614788,0.0731416839410837,0.07115399326787267
66,0.0744049072453581,0.059775799589103194,0.0731320812243039,0.07116123859016062
67,0.07440557700053013,0.05982266103531752,0.07312591537627672,0.07115478352837452
68,0.07439894780941475,0.059842758399867385,0.07312868779849137,0.07115271498150101
69,0.07439436094008728,0.059861870781071025,0.07311696866098036,0.07114641986013555
70,0.07438647648399781,0.05984969361597148,0.07311835591169456,0.07115136778687346
71,0.07437927167255669,0.05992189931832291,0.07310972008092641,0.07113200195029669
72,0.07436880873187064,0.05996021288280074,0.07310550943538405,0.07114152399899072
73,0.07436509398242502,0.05993403831857803,0.0730995496562031,0.07113785586347367
74,0.07436700533646995,0.05994879287353777,0.07309733946622675,0.07113166805617523
75,0.07435006578227837,0.06001987294406485,0.07309138426208953,0.07112625193841962
76,0.0743509833349004,0.0600058436889426,0.07308793109701357,0.071123456043428
77,0.07435273056106008,0.059991206828323936,0.07308977028889077,0.07112294460829523
78,0.07434546738830963,0.06000244275497984,0.07308759666005726,0.0711134439402301
79,0.07433997263813676,0.06004129940341268,0.07308267476798502,0.07111730853415578
80,0.07432543635163266,0.060031543232847255,0.07307806957522539,0.07110256578402387
81,0.07432321845299637,0.06007490932933704,0.07307912975911886,0.07110577301623651
82,0.07431996576208298,0.060086306297309426,0.0730819892796448,0.07110168917107862
83,0.07432580515659992,0.06010081977960101,0.0730747636784785,0.0710972498195257
