Batch,FeatureIndex,FinalRatio
E,62,0.30376858542415014
E,72,0.30376858542415014
E,65,0.30376858542415014
E,71,0.30376858542415014
E,63,0.30376858542415014
E,68,0.30376858542415014
E,76,0.30376858542415014
E,116,0.30376858542415014
E,120,0.30376858542415014
E,58,0.30376858542415014
E,123,0.30376858542415014
E,134,0.30376858542415014
E,130,0.30376858542415014
E,115,0.30376858542415014
E,138,0.30376858542415014
E,67,0.30376858542415014
E,59,0.30376858542415014
E,129,0.30376858542415014
E,128,0.30376858542415014
E,131,0.30376858542415014
E,126,0.30376858542415014
E,64,0.30376858542415014
E,132,0.30376858542415014
E,127,0.30376858542415014
E,143,0.30376858542415014
E,136,0.30376858542415014
